mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0439923286437989,0.012623735174904555,0.044739389419555665,0.002379442171835727,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8695227526502255,0.9598344384554942,0.9687869063255373,0.9664711206278077,0.9651266266376751,0.945948368939348,0.03832567141467823,11
3.136261558532715,0.10124525461385542,0.09421381950378419,0.0076277781586259275,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8690547414565557,0.9610613308335976,0.9693836160748778,0.9649334720367325,0.9636786569684662,0.945622363474046,0.03837840077017177,15
1.1033829212188722,0.06196112860258614,0.04327750205993652,0.0029591745641064974,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8681662783805021,0.9585475799892476,0.9700486197724086,0.9687351684859989,0.9619388858842618,0.9454873065024838,0.03889341279417955,16
3.05824294090271,0.04052940022093845,0.10818271636962891,0.005155517188580674,5,1,5,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8697019616492743,0.9602445513571636,0.9700769031246896,0.9663938587874306,0.9639856348163927,0.9460805819469901,0.03832324420596661,9
1.0365983486175536,0.008329542184385301,0.04233894348144531,0.000569234003614412,5,3,2,100,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8688948318881737,0.9601177265270674,0.9695878080815885,0.967727315371795,0.9640656560082118,0.9460786675753672,0.03872806491234829,10
3.196256494522095,0.032561611242517184,0.09925203323364258,0.0032689949339086044,5,3,2,300,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.8696164927420357,0.9593795233040624,0.9684516451253298,0.9665973609562807,0.965161808368561,0.945841366099254,0.03823304473475693,13
1.1368421077728272,0.04886345724617398,0.04595727920532226,0.0033009490154526496,5,3,5,100,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.8674280751574972,0.960236969437973,0.9702024536153022,0.9664828478714363,0.9645092217525193,0.9457719135669456,0.03930362747365226,14
3.300284242630005,0.013609298704636043,0.10813870429992675,0.0036439760091070803,5,3,5,300,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.8697440068375126,0.9599268000165424,0.9697071500314566,0.9653832463217846,0.9648417236012847,0.9459205853617162,0.03821426557537485,12
1.7545691967010497,0.06284281285436295,0.0701253890991211,0.0033884721918926385,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8989681697247074,0.9838394838780826,0.9914135881502413,0.9906078575291664,0.9908534398075076,0.971136507817941,0.03619029007174271,3
5.372208070755005,0.07989477698565438,0.18291659355163575,0.00849970349571363,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8993989605878054,0.9838904895162736,0.9913425348506086,0.990627862827121,0.9905016224986479,0.9711522940560913,0.03597816727090603,2
1.833326530456543,0.05163644810788076,0.07588024139404297,0.00601346871096947,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9008705421761487,0.9828786479370287,0.9906858092074039,0.990573365636141,0.9903740024944537,0.9710764734902352,0.03522843621177966,4
5.390911865234375,0.05925680145954872,0.18885836601257325,0.007258801527047015,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9004983388704318,0.984073144842227,0.9913515027427954,0.9908506804560656,0.9909631240273284,0.9715473581877697,0.035627665746032385,1
1.84031343460083,0.02985731877539377,0.07527828216552734,0.0074534020704409,10,3,2,100,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8988275595869922,0.9825174728774073,0.9908099800222956,0.9905588790410702,0.989033647531484,0.97034950781185,0.03588758876640646,7
5.452428245544434,0.024014275867672435,0.18282971382141114,0.004004537827700487,10,3,2,300,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.8992576611847093,0.9829510208020293,0.9907327181819185,0.9901270405403914,0.9900890994580636,0.9706315080334225,0.03580147681326004,6
1.843216896057129,0.023026978157637667,0.07559690475463868,0.004066565359334818,10,3,5,100,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.896570215464358,0.983147461435602,0.9905043818500898,0.990322954492776,0.990092548647366,0.9701275123780384,0.03688324922681078,8
4.412811136245727,0.23725682036809462,0.11877179145812988,0.016004332817067004,10,3,5,300,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.8992369832232806,0.9836816421058436,0.9905236973101841,0.9899669981567533,0.98984075782828,0.9706500157248682,0.03579396069091567,5
