mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04817905426025391,0.0062148275240027735,0.010010719299316406,0.0027774969834515593,0.01,balanced,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8444852850393234,0.8518841061987508,0.8679412603009207,0.8551388298614632,0.8576972201748211,0.8554293403150559,0.0076696394691322944,2
0.07637019157409668,0.014609880148581066,0.012223911285400391,0.004066189866394789,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8392184533877808,0.8555679673245398,0.8560860244580415,0.8566033465819884,0.8544524235573075,0.8523856430619317,0.006622016289670255,10
0.08135981559753418,0.02349912508504252,0.013952398300170898,0.0027819771576866547,0.1,balanced,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8436806216945881,0.8621432833322937,0.8632952665243445,0.8588866484080259,0.857312490933521,0.8570636621785546,0.007030311670553553,1
0.11163916587829589,0.024170771444788464,0.016817903518676756,0.003656803463993995,0.1,balanced,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8424602964951025,0.8590128761686228,0.8632952665243445,0.8593313940316631,0.8528748343528921,0.8553949335145251,0.007275386267766821,3
0.2984461784362793,0.10362683416148548,0.009738874435424805,0.0052247023584629,1.0,balanced,l1,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8417353712963861,0.8590128761686228,0.8627185759981052,0.8586096501068528,0.8527277613544747,0.8549608469848883,0.0073459504870523485,9
0.11230087280273438,0.008381545946647027,0.011052274703979492,0.00598874159815938,1.0,balanced,l2,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
1.8589970588684082,0.47201553680821906,0.011369419097900391,0.00558967565274731,10.0,balanced,l1,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
0.15044350624084474,0.028387886524094838,0.017172574996948242,0.006680443368427886,10.0,balanced,l2,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
2.315768003463745,0.25723206872294896,0.012109994888305664,0.0035828987805930058,100.0,balanced,l1,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8593313940316631,0.8527277613544747,0.8551371656385612,0.007432912977626744,7
0.16505975723266603,0.043563546103982595,0.014162302017211914,0.007563822478733829,100.0,balanced,l2,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8593313940316631,0.8527277613544747,0.8551371656385612,0.007432912977626744,7
