mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05404047966003418,0.00639657728228329,0.010849285125732421,0.006520048221425438,0.01,balanced,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8444852850393234,0.8518841061987508,0.8679412603009207,0.8551388298614632,0.8576972201748211,0.8554293403150559,0.0076696394691322944,2
0.06002330780029297,0.006792642166569315,0.009207725524902344,0.006962476227716344,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8392184533877808,0.8555679673245398,0.8560860244580415,0.8566033465819884,0.8544524235573075,0.8523856430619317,0.006622016289670255,10
0.08850769996643067,0.017490028140158372,0.011531972885131836,0.0027559498368860628,0.1,balanced,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8436806216945881,0.8621432833322937,0.8632952665243445,0.8588866484080259,0.857312490933521,0.8570636621785546,0.007030311670553553,1
0.11424074172973633,0.024197846140820337,0.012282085418701173,0.0045530011259239805,0.1,balanced,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8424602964951025,0.8590128761686228,0.8632952665243445,0.8593313940316631,0.8528748343528921,0.8553949335145251,0.007275386267766821,3
0.25918288230895997,0.09606294760041723,0.01264948844909668,0.003984324476982208,1.0,balanced,l1,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8417353712963861,0.8590128761686228,0.8627185759981052,0.8586096501068528,0.8527277613544747,0.8549608469848883,0.0073459504870523485,9
0.11783828735351562,0.01329799412666051,0.01454472541809082,0.006228751247915572,1.0,balanced,l2,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
2.028485107421875,0.4414249515266094,0.015177583694458008,0.004059709382227886,10.0,balanced,l1,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
0.1556269645690918,0.033842384970917676,0.012768840789794922,0.00803337500523104,10.0,balanced,l2,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8599068092801844,0.8527277613544747,0.8552522486882654,0.007501102649314805,4
2.2177064418792725,0.3248478342916733,0.013921165466308593,0.004352756203914055,100.0,balanced,l1,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8593313940316631,0.8527277613544747,0.8551371656385612,0.007432912977626744,7
0.1330517292022705,0.014074126763483606,0.014168214797973634,0.006981011549001105,100.0,balanced,l2,liblinear,"{'C': 100, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.8418934994728983,0.8584379068094257,0.8632952665243445,0.8593313940316631,0.8527277613544747,0.8551371656385612,0.007432912977626744,7
