mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.221999740600586,0.021179201728006625,0.055046606063842776,0.009434417409056638,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8665795894735391,0.9576094898057652,0.9683578271763005,0.9670416165384487,0.9660972285074116,0.945137150300293,0.039459295406775535,16
3.6968119144439697,0.15596024635680436,0.10068259239196778,0.002772595427765092,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8691870804096994,0.9593285176658718,0.9689745422235959,0.9668325956667144,0.9646306332159689,0.94579067383637,0.03843587396838039,13
1.359757900238037,0.09803675670674944,0.05418825149536133,0.007744892559398901,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8687879957541254,0.9600908451772101,0.9687620721625588,0.9675127757971765,0.96660977803777,0.9463526933857681,0.038898066678822264,10
3.2756670475006104,0.05610169557535808,0.10465831756591797,0.004843894004401098,5,1,5,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8693773176548435,0.9597724045712079,0.9706639551439831,0.9664524950055737,0.9635724219379477,0.9459677188627111,0.038460667220274164,12
1.1264625072479248,0.013622119005608753,0.04717950820922852,0.002475077631064643,5,3,2,100,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8687045946430295,0.9591313877669181,0.9684171532323045,0.9669491782651406,0.9656481440602201,0.9457700915935225,0.038663148186983236,14
3.289037990570068,0.03767190039803906,0.10650973320007324,0.006055955649786263,5,3,2,300,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.87016721578142,0.9611530031292649,0.9697271553294114,0.9671009425944527,0.9638007582697763,0.9463898150208649,0.03822187740235737,9
1.1431401729583741,0.020269440049579954,0.04884648323059082,0.003244299732179732,5,3,5,100,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.868743193504363,0.9592506306778237,0.9695243429984218,0.9663897197602674,0.9646961678127173,0.9457208109507187,0.03863285054698685,15
3.274419164657593,0.03194484574823679,0.1080092430114746,0.004711414074991944,5,3,5,300,"{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.8691153968100798,0.9608442122385961,0.9683723137713711,0.9660551483979205,0.9656060639507291,0.9459986270337394,0.0385193976578507,11
1.729744052886963,0.02247288816314037,0.07858061790466309,0.014518293135666197,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8985849381728953,0.9838229415089398,0.9919178596262733,0.9915349996136908,0.9907423759119657,0.9713206229667529,0.03648796919550103,2
5.227148485183716,0.15532888808357292,0.17754554748535156,0.005299276576361208,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9004693897244318,0.9839228849891786,0.990765830399223,0.9908430922396,0.9908286056445292,0.9713659605993925,0.03554858160121852,1
1.774409580230713,0.04999466355241991,0.06945910453796386,0.001205443228724128,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8974717745826498,0.9835527494796048,0.9907092636946612,0.9912107758192515,0.9900159766448493,0.9705921080442034,0.03666518096407966,6
5.102772855758667,0.06704691441511043,0.17302489280700684,0.01888249911997018,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9001385423415725,0.9841165685612274,0.991150759925387,0.9907444454255473,0.9902422434630964,0.9712785119433661,0.035662761788766664,3
1.7225793838500976,0.012913176481278038,0.07235474586486816,0.0030124552516589747,10,3,2,100,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8981141699177017,0.9827159813071229,0.9900959978366685,0.9899525115616824,0.9895261917638878,0.9700809704774127,0.036090053969490485,7
5.086848545074463,0.024356784568160948,0.15981135368347169,0.007000017330983203,10,3,2,300,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.899119808108518,0.9832791111233646,0.9906375205571681,0.9903464089800332,0.9898531749097692,0.9706472047357707,0.03586718330752545,5
1.7200464725494384,0.04073252725156134,0.06961221694946289,0.003855223709957565,10,3,5,100,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.8960449952440689,0.9831970885430308,0.9898628326398164,0.9905499111488836,0.990241553625236,0.9699792762402071,0.03706765487310726,8
4.203619146347046,0.1299966372232429,0.11961398124694825,0.014969205831792317,10,3,5,300,"{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.8988723618367545,0.9834376421609848,0.9907541031555943,0.990618205097074,0.9898255813953488,0.9707015787291512,0.03601707076052669,4
